Actor,Film,Year,Genre,Boxoffice(INR Crore) ,IMDp
Shah Rukh khan,Pathan,2023,Action ,1050,7.2
Salman khan,Tiger Zinda hai ,2017,Action ,760,6
Aamir khan,Dangal,2016,Biography,2024,8.4
Ranbir kapoor,Brahmasatre,2022,Fantacy,431,5.6
Ranveer singh,Padmaavat,2018,Historical,585,7
Ayushmann khurann,Andhadhan,2018,Thriller,111,8.3
Rajkumar Rao,Stree,2018,Horror Comedy,180,7.5
Hritithik Roshan,War,2018,Action ,475,6.5
Akashy kumar,Good News,2019,Comedy,318,7
Kartik Aryan,Bhool bhulaiya,2022,Horror Comedy,266,5.8
Varun Dhawaan,Badri ki dhulaniya,2017,Romantic comedy,201,6.1
Vicky kaushal,Uri,2019,Action ,343,8.2
